"agegp","alcgp","tobgp","ncases","ncontrols","cases_ratio"
"25-34","0-39g/day","0-9g/day",0,40,0
"25-34","0-39g/day","10-19",0,10,0
"25-34","0-39g/day","20-29",0,6,0
"25-34","0-39g/day","30+",0,5,0
"25-34","40-79","0-9g/day",0,27,0
"25-34","40-79","10-19",0,7,0
"25-34","40-79","20-29",0,4,0
"25-34","40-79","30+",0,7,0
"25-34","80-119","0-9g/day",0,2,0
"25-34","80-119","10-19",0,1,0
"25-34","80-119","30+",0,2,0
"25-34","120+","0-9g/day",0,1,0
"25-34","120+","10-19",1,1,50
"25-34","120+","20-29",0,1,0
"25-34","120+","30+",0,2,0
"35-44","0-39g/day","0-9g/day",0,60,0
"35-44","0-39g/day","10-19",1,14,6.66666666666667
"35-44","0-39g/day","20-29",0,7,0
"35-44","0-39g/day","30+",0,8,0
"35-44","40-79","0-9g/day",0,35,0
"35-44","40-79","10-19",3,23,11.5384615384615
"35-44","40-79","20-29",1,14,6.66666666666667
"35-44","40-79","30+",0,8,0
"35-44","80-119","0-9g/day",0,11,0
"35-44","80-119","10-19",0,6,0
"35-44","80-119","20-29",0,2,0
"35-44","80-119","30+",0,1,0
"35-44","120+","0-9g/day",2,3,40
"35-44","120+","10-19",0,3,0
"35-44","120+","20-29",2,4,33.3333333333333
"45-54","0-39g/day","0-9g/day",1,46,2.12765957446809
"45-54","0-39g/day","10-19",0,18,0
"45-54","0-39g/day","20-29",0,10,0
"45-54","0-39g/day","30+",0,4,0
"45-54","40-79","0-9g/day",6,38,13.6363636363636
"45-54","40-79","10-19",4,21,16
"45-54","40-79","20-29",5,15,25
"45-54","40-79","30+",5,7,41.6666666666667
"45-54","80-119","0-9g/day",3,16,15.7894736842105
"45-54","80-119","10-19",6,14,30
"45-54","80-119","20-29",1,5,16.6666666666667
"45-54","80-119","30+",2,4,33.3333333333333
"45-54","120+","0-9g/day",4,4,50
"45-54","120+","10-19",3,4,42.8571428571429
"45-54","120+","20-29",2,3,40
"45-54","120+","30+",4,4,50
"55-64","0-39g/day","0-9g/day",2,49,3.92156862745098
"55-64","0-39g/day","10-19",3,22,12
"55-64","0-39g/day","20-29",3,12,20
"55-64","0-39g/day","30+",4,6,40
"55-64","40-79","0-9g/day",9,40,18.3673469387755
"55-64","40-79","10-19",6,21,22.2222222222222
"55-64","40-79","20-29",4,17,19.047619047619
"55-64","40-79","30+",3,6,33.3333333333333
"55-64","80-119","0-9g/day",9,18,33.3333333333333
"55-64","80-119","10-19",8,15,34.7826086956522
"55-64","80-119","20-29",3,6,33.3333333333333
"55-64","80-119","30+",4,4,50
"55-64","120+","0-9g/day",5,10,33.3333333333333
"55-64","120+","10-19",6,7,46.1538461538462
"55-64","120+","20-29",2,3,40
"55-64","120+","30+",5,6,45.4545454545455
"65-74","0-39g/day","0-9g/day",5,48,9.43396226415094
"65-74","0-39g/day","10-19",4,14,22.2222222222222
"65-74","0-39g/day","20-29",2,7,22.2222222222222
"65-74","0-39g/day","30+",0,2,0
"65-74","40-79","0-9g/day",17,34,33.3333333333333
"65-74","40-79","10-19",3,10,23.0769230769231
"65-74","40-79","20-29",5,9,35.7142857142857
"65-74","80-119","0-9g/day",6,13,31.5789473684211
"65-74","80-119","10-19",4,12,25
"65-74","80-119","20-29",2,3,40
"65-74","80-119","30+",1,1,50
"65-74","120+","0-9g/day",3,4,42.8571428571429
"65-74","120+","10-19",1,2,33.3333333333333
"65-74","120+","20-29",1,1,50
"65-74","120+","30+",1,1,50
"75+","0-39g/day","0-9g/day",1,18,5.26315789473684
"75+","0-39g/day","10-19",2,6,25
"75+","0-39g/day","30+",1,3,25
"75+","40-79","0-9g/day",2,5,28.5714285714286
"75+","40-79","10-19",1,3,25
"75+","40-79","20-29",0,3,0
"75+","40-79","30+",1,1,50
"75+","80-119","0-9g/day",1,1,50
"75+","80-119","10-19",1,1,50
"75+","120+","0-9g/day",2,2,50
"75+","120+","10-19",1,1,50
